player,player_id,Season,Included in rank?,team_name,player_game_count,accuracy_percent,aimed_passes,attempts,avg_depth_of_target,avg_time_to_throw,bats,big_time_throws,btt_rate,completion_percent,completions,declined_penalties,def_gen_pressures,drop_rate,dropbacks,drops,epa,first_downs,franchise_id,grades_hands_fumble,grades_offense,grades_pass,grades_run,hit_as_threw,interceptions,passing_snaps,penalties,positive_epa_percent,pressure_to_sack_rate,qb_rating,sack_percent,sacks,scrambles,spikes,thrown_aways,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa
Jalen Hurts,40291,2023,1,PHI,18,75.8,521,573,8.9,3.11,8,29,4.8,65.8,377,0,270,4.6,661,18,0.04,211,24,66.5,86.5,83.9,76.7,6,15,693,7,45.2,14.4,89.8,5.9,39,47,0,38,24,16,2.3,4108,7.2
Trevor Lawrence,77632,2023,1,JAX,16,74.7,530,564,8.6,2.54,14,35,5.8,65.6,370,0,190,6.6,645,26,-0.04,194,15,36.5,79.7,78.6,69.9,7,14,681,8,47.4,18.4,88.5,5.4,35,41,0,13,21,26,3.8,4016,7.1
Matthew Stafford,4924,2023,1,LA,16,74.3,513,557,8.2,2.59,8,37,6.3,63,351,0,203,7.9,605,30,0.1,204,26,92.1,88.2,86,61.3,4,11,643,7,47.6,15.8,94.3,5.3,32,14,3,29,26,12,1.9,4332,7.8
C.J. Stroud,129759,2023,1,HST,17,74.2,512,553,9.3,2.93,9,26,4.4,64,354,0,219,6.8,618,26,0.1,215,13,52.1,83.2,80.4,73.4,3,5,653,4,47.2,17.4,101.7,6.1,38,25,6,23,26,18,2.8,4557,8.2
Brock Purdy,77672,2023,1,SF,19,76.6,509,552,8.6,2.73,13,32,5.5,67.8,374,0,245,4.1,618,16,0.3,240,28,70.5,87.4,81.5,92,4,12,647,5,54.5,13.1,108.2,5.2,32,24,4,22,34,21,3.2,5054,9.2
Derek Carr,8671,2023,1,NO,17,76.8,514,548,8.2,2.57,3,18,3.2,68.4,375,0,181,5.1,588,20,0.06,187,20,61.9,77.4,77,46.6,6,8,609,4,44.9,17.1,97.7,5.3,31,9,0,25,25,13,2.1,3878,7.1
Bryce Young,123943,2023,1,CAR,16,71.9,463,527,7.8,2.9,7,18,3.2,59.8,315,1,253,5.4,622,18,-0.27,150,5,27.7,56.4,53,78.1,5,10,663,6,38.3,24.5,73.7,10,62,31,1,51,11,22,3.3,2877,5.5
Lamar Jackson,46416,2023,1,BLT,18,77,478,516,9.1,3.21,11,26,4.7,66.5,343,2,230,6.8,633,25,0.04,214,3,43.3,90.4,83,90.8,8,8,675,10,49.1,19.1,101.6,7,44,72,1,18,27,19,2.8,4102,7.9
Geno Smith,7820,2023,1,SEA,15,77.4,446,499,8.2,2.73,13,32,6,64.7,323,0,223,6.4,553,22,0.05,177,29,68.8,82.9,82.1,62.8,8,9,591,6,48.6,13.9,92.1,5.6,31,20,4,28,20,20,3.4,3624,7.3
Gardner Minshew,41401,2023,1,IND,16,74.2,446,490,7.8,2.67,14,14,2.7,62.2,305,0,190,7.9,546,26,-0.03,153,14,42.5,62,60.6,59.6,4,9,580,4,41.9,17.9,84.6,6.2,34,21,0,26,15,22,3.8,3305,6.7
Justin Herbert,28237,2023,1,LAC,13,74.7,427,456,8.2,2.79,7,24,5,65.1,297,1,186,6.9,520,22,0.05,163,27,66.7,85.5,83.1,73.2,8,7,552,5,47.7,15.6,93.2,5.6,29,32,0,14,20,13,2.4,3134,6.9
Russell Wilson,7077,2023,1,DEN,15,78.8,400,447,7.8,3.07,11,27,5.6,66.4,297,0,218,5.7,530,18,-0.09,150,10,28.9,77.5,72.5,80.3,5,8,568,2,44.5,20.6,98,8.5,45,36,4,27,26,17,3,3075,6.9
Joshua Dobbs,11890,2023,1,MIN,13,72.1,390,417,8,3.03,6,12,2.7,62.8,262,0,185,6.8,485,19,-0.11,143,18,49.8,65.9,59.9,82.2,6,10,524,5,42.1,16.2,79.5,6.2,30,35,0,15,13,23,4.4,2464,5.9
Desmond Ridder,55086,2023,1,ATL,15,72.7,363,388,8.5,2.68,8,13,3.2,64.2,249,0,139,5.7,439,15,-0.06,146,2,27.6,51.9,53.2,48.8,0,12,464,5,45.6,22.3,83.4,7.1,31,19,2,15,12,26,5.6,2836,7.3
Justin Fields,82118,2023,1,CHI,13,74.4,324,370,8.8,3.39,10,21,5.5,61.4,227,0,223,5.8,457,14,-0.08,141,6,33.8,74.6,67.2,84.9,7,9,478,5,41.1,19.3,86.3,9.4,43,43,0,29,16,16,3.3,2562,6.9
Zach Wilson,82096,2023,1,NYJ,12,72.5,331,368,7.9,2.92,7,10,2.6,60.1,221,0,189,7.9,439,19,-0.24,110,22,30.8,58.2,57.2,60.9,6,7,463,2,37.8,24.3,77.2,10.5,46,25,3,21,8,12,2.6,2271,6.2
Joe Burrow,28022,2023,1,CIN,10,76.8,340,365,6.9,2.47,6,17,4.4,66.8,244,0,123,6.5,403,17,-0.04,122,7,87,77.9,76.8,68.8,6,6,422,5,46.9,19.5,91,6,24,14,1,12,15,9,2.1,2309,6.3
Mac Jones,60323,2023,1,NE,11,72.3,328,345,7.4,2.42,5,11,3.1,64.9,224,0,119,5.5,379,13,-0.22,104,19,53.8,52.2,52.2,61.3,4,12,395,4,43,18.5,77,5.8,22,12,0,8,10,23,5.8,2120,6.1
Aidan O'Connell,60516,2023,1,LV,11,74,315,343,8,2.62,8,12,3.4,62.1,213,0,122,8.6,370,20,-0.08,107,23,72.1,65.9,64.6,61.6,3,7,380,2,44.1,19.7,83.9,6.5,24,0,1,16,12,10,2.6,2218,6.5
Kenny Pickett,60515,2023,1,PIT,12,71.8,298,324,7.5,2.73,8,13,3.8,62,201,0,136,6.1,363,13,-0.13,96,25,91.3,70.6,68.8,66.7,3,4,386,2,40.5,16.9,81.4,6.3,23,14,1,14,6,7,1.8,2070,6.4
Kirk Cousins,7102,2023,1,MIN,8,80.5,293,311,7.7,2.69,1,10,3,69.5,216,0,108,8.5,331,20,0.1,112,18,46.2,86.1,85.1,64.8,7,5,353,6,45.9,15.7,103.8,5.1,17,3,2,8,18,8,2.3,2331,7.5
Kyler Murray,38334,2023,1,ARZ,8,73.5,253,268,7.5,2.8,9,8,2.8,65.7,176,1,95,5.4,304,10,-0.02,96,1,59.7,70.8,67.6,77.8,2,5,326,5,44.4,18.9,89.4,5.9,18,16,1,3,10,6,1.8,1799,6.7
Will Levis,83542,2023,1,TEN,9,69.1,236,255,11.1,2.76,6,16,5.9,58.4,149,0,130,8.6,292,14,-0.11,85,31,68.9,63.7,61.6,67.4,6,4,310,1,39.4,21.5,84.2,9.6,28,9,2,5,8,14,4.5,1808,7.1
Joe Flacco,4332,2023,1,CLV,6,72.5,233,250,9.1,2.78,1,11,4.2,62.8,157,0,88,7.1,265,12,-0.09,75,8,65.4,72.8,70.6,69.1,2,10,277,1,44.9,13.6,88.5,4.5,12,2,0,14,14,11,4,1923,7.7
Jake Browning,46401,2023,1,CIN,9,79.6,226,243,6.6,2.84,7,9,3.5,70.4,171,0,102,5,283,9,0.07,100,7,54.6,79.3,74.4,87.8,3,7,298,8,47.3,23.5,98.4,8.5,24,16,0,7,12,11,3.7,1936,8
Ryan Tannehill,7014,2023,1,TEN,9,76.1,213,230,8.4,2.67,5,10,4,64.8,149,0,106,8,271,13,-0.08,77,31,70.5,68.7,66.3,69.7,3,7,291,1,40.6,30.2,78.5,11.8,32,9,2,7,4,11,3.8,1616,7
Bailey Zappe,60396,2023,1,NE,10,68.7,198,212,8.1,2.75,4,10,4.6,59.9,127,0,103,6.6,247,9,-0.37,57,19,62.2,52.2,51.1,63.3,0,9,253,1,34.8,24.3,68.8,10.1,25,10,1,9,6,10,4,1272,6
Tyrod Taylor,6332,2023,1,NYG,10,76.7,163,180,9.1,2.83,1,17,8.9,64.4,116,0,87,7.2,224,9,0.01,57,21,44.1,71.4,73.4,54.5,0,3,242,0,43.3,19.5,89.1,7.6,17,26,6,10,5,3,1.2,1341,7.5
Tommy DeVito,60545,2023,1,NYG,9,78.3,161,178,6.6,3.09,4,4,2.2,64,114,0,99,9.5,237,12,-0.24,48,21,77.3,62,64.4,50.9,1,3,243,3,36.3,37.4,89.2,15.6,37,22,0,12,8,5,2.1,1101,6.2
Easton Stick,29466,2023,1,LAC,5,70.9,165,174,7.5,2.76,2,5,2.7,63.8,111,0,62,5.1,198,6,-0.15,58,27,29.2,66.8,61.8,79.9,2,1,208,1,44.4,22.6,85.6,7.1,14,9,1,4,3,7,3.4,1129,6.5
Deshaun Watson,11767,2023,1,CLV,6,72.6,157,171,9.2,3.13,2,6,3.3,61.4,105,0,77,7.9,205,9,-0.09,58,8,38.5,67.3,66.8,63.4,3,4,218,3,43.4,20.8,84.3,7.8,16,18,1,8,7,4,1.8,1115,6.5
Jimmy Garoppolo,8697,2023,1,LV,7,74.2,159,169,8.8,2.84,5,2,1.1,65.1,110,0,58,6.8,191,8,-0.07,63,23,74.1,65,65,58.8,1,9,203,1,48.2,24.1,77.7,7.3,14,8,1,3,7,6,3,1205,7.1
Daniel Jones,39395,2023,1,NYG,6,75.2,149,160,6.9,2.85,3,4,2.4,67.5,108,0,95,3.6,209,4,-0.26,51,21,45.3,63,54.4,82.2,2,6,220,0,41.6,31.6,70.5,14.4,30,19,0,6,2,9,4.1,909,5.7
Trevor Siemian,9683,2023,0,NYJ,5,63.8,138,153,6.2,2.48,4,4,2.5,56.2,86,0,57,2.3,167,2,-0.37,37,22,31.5,34.9,37.4,49.4,2,4,177,4,35.9,14,62.1,4.8,8,6,0,9,2,7,4,724,4.7
Nick Mullens,12282,2023,0,MIN,5,74.5,137,148,10.5,2.92,2,8,5.2,67.6,100,0,67,2,165,2,0.11,59,18,49.7,57.7,59.5,59.9,4,8,172,5,47.3,17.9,88.4,7.3,12,5,1,4,7,12,7,1306,8.8
Tyson Bagent,169628,2023,0,CHI,5,76.3,131,143,6.5,2.91,3,2,1.3,65.7,94,0,53,6,159,6,-0.12,55,6,50.5,57.8,50.8,82.2,3,6,166,0,50.9,9.4,71.4,3.1,5,11,0,6,3,11,6.6,859,6
Taylor Heinicke,9896,2023,0,ATL,5,64.5,121,136,8.6,2.99,2,4,2.9,54.4,74,0,44,5.1,157,4,0.06,46,2,67.2,52.5,48.5,70.7,2,4,161,0,43.9,18.2,74.7,5.1,8,13,2,9,5,9,5.6,890,6.5
Mason Rudolph,46569,2023,0,PIT,5,77.2,101,113,7.5,2.55,3,5,4.3,68.1,77,0,50,1.3,125,1,0.02,43,25,40.2,64.8,64.8,58.2,2,1,130,1,46.4,14,104.9,5.6,7,4,1,6,5,4,3.1,948,8.4
Dorian Thompson-Robinson,83574,2023,0,CLV,6,68,100,112,6.1,2.67,3,0,0,53.6,60,0,39,11.8,123,8,-0.35,27,8,36,49.7,49.4,56.6,2,4,132,1,35,15.4,51.2,4.9,6,5,2,5,1,5,3.8,440,3.9
P.J. Walker,12134,2023,0,CLV,5,59.4,101,111,8.7,2.79,2,4,3.4,48.6,54,0,52,10,126,6,-0.33,28,8,26.9,29.7,28.8,63.3,2,5,135,1,33.3,21.2,52.2,8.7,11,4,1,5,1,11,8.1,674,6.1
Mitch Trubisky,11757,2023,0,PIT,5,68.6,102,107,9.1,2.78,0,1,0.9,62.6,67,0,49,4.3,122,3,-0.15,38,25,64.6,43.3,44.2,51,3,5,132,0,43.4,14.3,71.9,5.7,7,8,1,1,4,7,5.3,632,5.9
Anthony Richardson,124393,2023,0,IND,4,71.1,76,84,8,2.86,3,3,3.3,59.5,50,0,31,7.4,98,4,0.03,33,14,23.6,52.2,56.5,45.3,2,1,107,1,41.8,22.6,87.3,7.1,7,7,0,3,3,4,3.7,577,6.9
Tim Boyle,21956,2023,0,NYJ,3,72.2,72,77,6.2,2.48,1,2,2.5,62.3,48,0,32,7.7,86,4,-0.49,16,22,84.4,64.1,61.2,73.5,0,4,89,0,32.6,28.1,56.2,10.5,9,0,0,4,1,3,3.4,360,4.7
Drew Lock,39517,2023,0,SEA,4,75,72,76,8.5,2.56,3,2,2.5,63.2,48,0,31,11.1,85,6,-0.08,20,29,52.5,61.3,62.2,56.4,0,3,91,3,37.6,19.4,81.2,7.1,6,3,0,1,3,5,5.5,543,7.1
Jarrett Stidham,13725,2023,0,DEN,2,70.5,61,66,7.7,2.76,0,0,0,60.6,40,0,28,7,77,3,0.05,19,10,51.9,55.5,58.5,45,1,1,81,1,41.6,25,87.7,9.1,7,3,0,4,2,1,1.2,496,7.5
Andy Dalton,6187,2023,0,CAR,1,71.7,53,58,7.7,2.33,1,4,6.5,58.6,34,0,27,10.5,63,4,0.1,18,5,82.5,81.1,79.1,64.2,3,0,67,0,41.3,11.1,88.4,4.8,3,1,0,1,2,1,1.5,361,6.2
Case Keenum,7323,2023,0,HST,2,68.6,51,53,7.9,2.73,0,0,0,64.2,34,0,19,2.9,59,1,-0.38,14,13,82.5,44.8,45.6,54,0,3,68,1,39,31.6,61.1,10.2,6,0,0,2,1,4,5.9,291,5.5
C.J. Beathard,11859,2023,0,JAX,5,85.7,49,53,6.2,2.56,1,1,1.8,75.5,40,0,20,4.8,63,2,-0.01,21,15,45.5,71.5,74.6,46.9,0,0,68,0,49.2,30,98.7,9.5,6,4,0,3,1,2,2.9,349,6.6
Jameis Winston,9434,2023,0,NO,4,60,45,47,12.7,2.41,0,3,6,53.2,25,0,15,7.4,49,2,-0.23,10,20,81.5,56.3,55.8,61.3,0,3,52,1,32.7,13.3,57.4,4.1,2,0,0,2,2,3,5.8,264,5.6
Sam Darnold,29048,2023,0,SF,6,69.8,43,46,8.7,2.73,0,1,2,60.9,28,0,25,6.7,55,2,-0.1,16,28,22.9,66,66.5,57.8,1,1,59,1,49.1,24,85.1,10.9,6,3,1,1,2,2,3.4,297,6.5
Brian Hoyer,5277,2023,0,LV,2,59.5,42,42,8.5,2.26,0,3,6.5,54.8,23,0,5,8,43,2,-0.24,14,23,80.6,55.2,54.6,60.5,0,2,47,0,44.2,20,50.8,2.3,1,0,0,0,0,1,2.1,231,5.5
Davis Mills,52269,2023,0,HST,6,60.5,38,40,7.9,2.67,1,0,0,47.5,19,0,17,17.4,43,4,-0.22,12,13,80.5,48.3,46.3,68.2,0,0,45,0,34.9,11.8,77,4.7,2,1,0,1,2,4,8.9,179,4.5
Brett Rypien,46487,2023,0,NYJ,2,58.8,34,38,8.7,2.74,3,0,0,47.4,18,1,14,10,44,2,-0.45,9,22,22.4,48.1,48,70.7,0,1,47,3,29.5,14.3,49.5,4.5,2,3,0,1,0,3,6.4,172,4.5
Tyler Huntley,46448,2023,0,BLT,5,70.6,34,37,7.2,3.21,1,1,2.7,56.8,21,0,18,12.5,48,3,0.06,14,3,81.5,63.8,64.7,57.6,0,0,48,0,39.6,22.2,99.3,8.3,4,7,0,2,3,1,2.1,203,5.5
Blaine Gabbert,6162,2023,0,KC,2,68.8,32,35,5.9,2.41,2,0,0,51.4,18,0,18,18.2,40,4,-0.31,10,16,79.8,60.7,54.6,74.8,0,3,41,0,32.5,5.6,31.2,2.5,1,4,0,1,0,2,4.9,185,5.3
Jeff Driskel,10841,2023,0,CLV,1,62.5,24,26,10.7,2.98,1,2,7.7,50,13,0,11,13.3,32,2,-0.31,11,8,78.7,66.4,58.9,83.4,0,2,32,1,37.5,27.3,63.9,9.4,3,3,0,1,2,3,9.4,166,6.4
Cooper Rush,12324,2023,0,DAL,7,75,24,24,8.4,1.91,0,1,4,75,18,0,6,0,27,0,-0.08,8,9,79.6,58,54.3,66.2,0,1,28,0,48.1,16.7,72.2,3.7,1,1,0,0,0,1,3.6,144,6
Carson Wentz,10636,2023,0,LA,1,87,23,24,6.7,2.49,0,3,10.3,70.8,17,0,9,15,30,3,0.22,12,26,80.8,80.7,80.2,68.1,0,1,35,0,53.3,22.2,99.8,6.7,2,4,0,1,2,0,0,163,6.8
Marcus Mariota,9435,2023,0,PHI,2,71.4,21,23,8.1,3.01,2,1,4.3,65.2,15,0,9,0,29,0,-0.11,12,24,27.4,66.3,55.6,80.7,0,1,29,1,51.7,33.3,82.5,10.3,3,3,0,0,1,2,6.9,164,7.1
Jacoby Brissett,10725,2023,0,WAS,2,86.4,22,23,9,2.83,0,1,3.7,78.3,18,0,8,5.3,25,1,0.66,10,32,77.4,84.6,79.4,75,0,0,29,0,52,0,146.8,0,0,2,0,1,3,0,0,224,9.7
Clayton Tune,77652,2023,0,ARZ,2,73.7,19,21,3.2,2.95,2,0,0,57.1,12,0,17,14.3,33,2,-1.1,4,1,78.8,34.2,28,65.6,0,2,35,0,18.2,41.2,22.6,21.2,7,5,0,0,0,3,8.6,62,3
Jaren Hall,82094,2023,0,MIN,3,68.4,19,20,6.8,3.23,0,0,0,65,13,0,13,0,27,0,-0.57,7,18,77.2,60.3,64.4,49.7,0,1,27,0,37,30.8,70.4,14.8,4,3,0,1,0,0,0,168,8.4
Taysom Hill,12112,2023,0,NO,10,60,10,11,13.8,3.11,1,0,0,54.5,6,0,5,0,16,0,0.22,6,20,67.7,75.3,51.6,86.1,0,0,17,0,50,40,109.3,12.5,2,3,0,0,1,0,0,83,7.5
Mike White,46453,2023,0,MIA,4,83.3,6,6,3.7,1.67,0,1,16.7,83.3,5,0,0,0,6,0,-1.1,1,17,73.9,52.5,46.2,60.3,0,1,6,0,33.3,,118.1,0,0,0,0,0,1,1,16.7,74,12.3
A.J. McCarron,8799,2023,0,CIN,2,100,5,5,-1.4,2.55,0,0,0,80,4,0,4,20,6,1,-0.84,0,7,69.6,59,58.4,,0,0,7,0,16.7,25,82.5,16.7,1,0,0,0,0,0,0,19,3.8
Malik Willis,60341,2023,0,TEN,1,80,5,5,7.6,3.55,0,0,0,80,4,0,6,0,12,0,-0.17,2,31,74.5,45.9,48.4,52.2,0,0,15,0,41.7,66.7,118.8,33.3,4,3,0,0,0,0,0,74,14.8
Logan Woodside,46517,2023,0,ATL,1,75,4,4,2,2.55,0,0,0,75,3,0,2,0,6,0,-1.52,3,2,68.9,24.8,24.9,58.3,0,1,6,0,66.7,50,53.1,16.7,1,1,0,0,0,1,16.7,27,6.8
Jakobi Meyers,47468,2023,0,LV,3,100,2,3,10.5,4.55,0,0,0,66.7,2,0,2,0,4,0,0.89,2,23,82.1,69.9,80.8,70,0,0,4,6,75,0,113.9,0,0,1,0,1,1,0,0,12,4
Derrick Henry,10679,2023,0,TEN,3,66.7,3,3,15.7,2.73,0,0,0,66.7,2,0,0,0,3,0,1.3,2,31,91.4,90.1,72.2,86.8,0,0,3,0,66.7,,116.7,0,0,0,0,0,2,0,0,14,4.7
Keenan Allen,7857,2023,0,LAC,2,100,1,2,23,3.35,0,0,0,50,1,0,1,0,2,0,1.82,1,27,35.7,85.3,71.4,,0,0,2,1,50,0,135.4,0,0,0,0,1,1,0,0,49,24.5
Christian Kirk,47546,2023,0,JAX,2,50,2,2,12.5,3.85,0,0,0,50,1,1,0,0,2,0,-0.78,0,15,26.7,71.1,52.1,63.3,0,0,2,1,0,,56.3,0,0,0,0,0,0,0,0,-1,-0.5
Kadarius Toney,61245,2023,0,KC,1,0,1,1,16,4.6,0,0,0,0,0,0,1,,1,0,-0.44,0,16,38.3,62.5,55.1,62.3,0,0,1,1,0,0,39.6,0,0,0,0,0,0,0,0,0,0
Justin Jefferson,61398,2023,0,MIN,1,0,1,1,22,3.5,0,0,0,0,0,1,1,,1,0,-0.43,0,18,48.1,91.1,49.2,57.2,0,0,1,1,0,0,39.6,0,0,0,0,0,0,0,0,0,0
Logan Cooke,29214,2023,0,JAX,1,100,1,1,4,2.4,0,0,0,100,1,0,0,0,1,0,3.08,1,15,60.4,70.3,66.9,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,13,13
Aaron Rodgers,2241,2023,0,NYJ,1,,0,1,,4.15,0,0,0,0,0,0,2,,2,0,-1.28,0,22,65.5,39.4,41.1,,0,0,3,0,0,50,39.6,50,1,0,0,1,0,0,0,0,0
Jalen Reeves-Maybin,11879,2023,0,DET,1,100,1,1,22,2.1,0,0,0,100,1,0,0,0,1,0,5.3,1,11,66.7,71.2,70.7,59.8,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,31,31
Kenneth Gainwell,77737,2023,0,PHI,1,100,1,1,17,2.6,0,0,0,100,1,0,0,0,1,0,0.68,1,24,29.3,55.3,69.7,52.4,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,17,17
Dyami Brown,77986,2023,0,WAS,1,100,1,1,1,3.7,0,0,0,100,1,0,0,0,1,0,0.03,0,32,72.9,59,60,56.2,0,0,1,1,100,,83.3,0,0,0,0,0,0,0,0,4,4
Jonnu Smith,11855,2023,0,ATL,1,0,1,1,9,3.3,0,0,0,0,0,2,0,,1,0,-0.48,0,2,37.5,59.1,56.3,56.9,0,0,1,5,0,,39.6,0,0,0,0,0,0,0,0,0,0
Chris Godwin,11839,2023,0,TB,1,0,1,1,18,3.6,0,0,0,0,0,1,0,,1,0,-0.72,0,30,83.5,77.5,49.6,70.7,0,0,1,1,0,,39.6,0,0,0,0,0,0,0,0,0,0
Tyler Boyd,10689,2023,0,CIN,1,0,1,1,-6,4.4,0,0,0,0,0,0,0,,1,0,-5.6,0,7,81.5,59.5,57.3,59.1,0,1,1,2,0,,0,0,0,0,0,0,0,1,100,0,0
Ja'Marr Chase,84270,2023,0,CIN,1,100,1,1,-7,4.8,0,0,0,100,1,1,0,0,1,0,-1.68,0,7,58.8,85.3,60,52.8,0,0,1,2,0,,79.2,0,0,0,0,0,0,0,0,-7,-7
Drake London,86519,2023,0,ATL,1,100,1,1,12,4,0,0,0,100,1,0,1,0,1,0,1.74,1,2,81.4,78.9,69.5,,0,0,1,1,100,0,118.8,0,0,0,0,0,0,0,0,22,22
Garrett Wilson,97405,2023,0,NYJ,1,0,1,1,9,2.9,0,0,0,0,0,1,0,,1,0,-0.44,0,22,32.1,72.9,53.5,62,0,0,1,5,0,,39.6,0,0,0,0,0,0,0,0,0,0
Jerick McKinnon,8731,2023,0,KC,1,100,1,1,-4,0.9,0,0,0,100,1,0,0,0,1,0,1.45,1,16,80.9,63.1,60.1,60.6,0,0,1,0,100,,122.9,0,0,0,0,0,1,0,0,4,4
Dontayvion Wicks,99711,2023,0,GB,1,100,1,1,9,2.5,0,0,0,100,1,0,0,0,1,0,0.04,1,12,23,77.8,69.9,59.2,0,0,1,2,100,,118.8,0,0,0,0,0,0,0,0,14,14
DeAndre Hopkins,7808,2023,0,TEN,2,0,1,1,-2,6.55,0,0,0,0,0,0,2,,2,0,-0.11,0,31,82.1,81,59.6,64.5,0,0,2,4,50,0,39.6,0,0,1,0,0,0,0,0,0,0
Johnny Hekker,7252,2023,0,CAR,1,100,1,1,-4,2.3,0,0,0,100,1,0,0,0,1,0,-1.78,0,5,60.4,61,60.3,60,0,0,1,0,0,,95.8,0,0,0,0,0,0,0,0,7,7
Jauan Jennings,48027,2023,0,SF,1,100,1,1,-5,3.5,0,0,0,100,1,0,1,0,1,0,3.26,1,28,76.8,74.1,60,59.7,0,0,1,3,100,0,158.3,0,0,0,0,0,1,0,0,21,21
Thomas Morstead,5088,2023,0,NYJ,1,100,1,1,9,1.9,0,0,0,100,1,0,0,0,1,0,4.55,1,22,60.4,69.8,67.2,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,18,18
Deebo Samuel,48274,2023,0,SF,1,,0,1,,5.1,0,0,0,0,0,0,1,,1,0,-0.45,0,28,64.7,85.4,60,68.2,0,0,1,2,0,0,39.6,0,0,0,0,1,0,0,0,0,0
Sean Clifford,51708,2023,0,GB,1,100,1,1,33,2.6,0,0,0,100,1,0,1,0,1,0,3.8,1,12,15.5,56.8,76,44.9,0,0,1,0,100,0,118.8,0,0,0,0,0,0,0,0,37,37
Connor Heyward,57301,2023,0,PIT,1,,0,1,,2,1,0,0,0,0,1,0,,1,0,-0.74,0,25,76.3,55.5,60,59.3,0,0,1,4,0,,39.6,0,0,0,0,0,0,0,0,0,0
Braden Mann,44664,2023,0,PHI,1,100,1,1,11,2.2,0,0,0,100,1,0,0,0,1,0,4.94,1,24,60.4,73.1,68.8,,0,0,1,0,100,,118.8,0,0,0,0,0,0,0,0,28,28
Devin Singletary,40485,2023,0,HST,1,100,1,1,12,2.7,0,0,0,100,1,0,1,0,1,0,2.22,1,13,85,75.1,69.5,78.1,0,0,1,0,100,0,131.3,0,0,0,0,0,1,0,0,6,6
Kyle Trask,39987,2023,0,TB,1,0,1,1,12,2.3,0,1,100,0,0,0,0,,1,0,-1.6,0,30,64.5,86,82.7,60,0,0,1,0,0,,39.6,0,0,0,0,0,0,0,0,0,0
Tommy Townsend,33007,2023,0,KC,1,100,1,1,12,2,0,0,0,100,1,0,0,0,1,0,3.88,1,16,60.4,74.7,68.8,,0,0,1,0,100,,112.5,0,0,0,0,0,0,0,0,11,11
