player,player_id,Included in rank?,Horizontal lead,Horizontal lead atts,Vertical lead,Vertical lead atts,Over shoulder,Over shoulder atts,Stick,Stick att,Vertical back shoulder,Vertical back shoulder atts,Open under,Open under atts,Swing,Swing att,Bubble,Bubble att,Shovel,Shovel att,Jet,Jet att,Jump ball,Jump ball atts,Open behind,Open behind atts
Cooper Rush,12324,0,50.1,25,70.7,1,84.7,2,71.7,13,65.099999999999994,2,63.2,3,63.3,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kenny Pickett,60515,0,51.9,27,87.6,3,59.7,1,29.2,7,#N/A,#N/A,55.6,3,63.1,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tanner McKee,131770,0,68,21,48.3,3,64.8,2,84.3,5,41.2,2,58,1,60.1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Andy Dalton,6187,0,86.4,22,53,5,76,1,70.400000000000006,6,#N/A,#N/A,#N/A,#N/A,56,0,60,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Malik Willis,60341,0,74.400000000000006,19,90.2,4,95.8,4,70.900000000000006,4,#N/A,#N/A,60.1,1,60.1,1,#N/A,#N/A,#N/A,#N/A,60.1,1,#N/A,#N/A,#N/A,#N/A
Mitch Trubisky,11757,0,73.099999999999994,25,72,2,55.4,1,82.3,3,55.1,1,60.4,1,60,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,70.7,1
Jarrett Stidham,13725,0,61,13,71.599999999999994,1,51.5,2,77.400000000000006,2,55.1,1,63.9,4,60,1,61.9,2,60.1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brandon Allen,10835,0,26.4,14,#N/A,#N/A,75.3,2,61.8,3,#N/A,#N/A,60.4,1,62.8,3,62.1,2,51.4,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Joe Milton III,82151,0,58.3,10,28,4,77.599999999999994,2,67.099999999999994,5,58.1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Aidan O'Connell,60516,0,67.400000000000006,5,58.4,2,69,3,70.599999999999994,6,#N/A,#N/A,60.1,1,60.1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Teddy Bridgewater,8667,0,68.2,5,35.9,2,58.1,1,61.8,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,60,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Clayton Tune,77652,0,29.6,9,#N/A,#N/A,#N/A,#N/A,63.3,3,#N/A,#N/A,60.1,1,60.4,1,60,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Shane Buechele,12659,0,40.799999999999997,4,91.8,2,#N/A,#N/A,69.3,4,#N/A,#N/A,59,2,#N/A,#N/A,60.1,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gardner Minshew,41401,0,61.5,3,27.4,1,52.1,1,47.8,4,#N/A,#N/A,#N/A,#N/A,60,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Zach Wilson,82096,0,53.3,6,47.3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,62,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Joshua Dobbs,11890,0,54.4,5,#N/A,#N/A,77,2,60.4,1,#N/A,#N/A,60.4,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Taysom Hill,12112,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tyson Bagent,169628,0,72.599999999999994,2,49.2,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nick Mullens,12282,0,70.400000000000006,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Drew Lock,39517,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,43.2,1,#N/A,#N/A,60.1,1,60.4,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Anthony Richardson,124393,0,#N/A,#N/A,#N/A,#N/A,51.7,1,73.3,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kedon Slovis,100580,0,58.7,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
David Montgomery,45719,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Kyle Allen,26152,0,60.1,1,#N/A,#N/A,#N/A,#N/A,71.900000000000006,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Gunner Olszewski,95015,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cooper Kupp,11824,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Christian McCaffrey,11763,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Isaiah Williams,97156,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tyler Warren,129798,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cole Kmet,60995,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Derrick Henry,10679,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Efton Chism III,141521,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Corey Bojorquez,27626,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Cam Akers,57206,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
DJ Moore,48267,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jauan Jennings,48027,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jaylen Waddle,84088,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Rigoberto Sanchez,12130,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Breece Hall,97636,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Matt Haack,12212,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Austin McNamara,99363,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
RJ Harvey,99622,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Chris Olave,84355,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
